publisher,code,text,count,category,category_year
carenederland,8.10.1,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,> 10M & <= 100M,2018
carenederland,8.10.2,The @value should be a valid number for all non-qualitative measures.,3,> 10M & <= 100M,2018
carenederland,1.10.1,The identifier should not start or end with spaces or newlines.,2,> 10M & <= 100M,2018
carenederland,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
carenederland,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,> 10M & <= 100M,2018
carenederland,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",2,> 10M & <= 100M,2018
carenederland,3.4.1,Percentages are missing for one or more recipient countries or regions.,2,> 10M & <= 100M,2018
carenederland,4.4.1,The description has no narrative content.,7,> 10M & <= 100M,2018
carenederland,8.9.1,"The target must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,> 10M & <= 100M,2018
caribank,0.0.0,No messages for publisher,0,> 10M & <= 100M,2018
caritas_denmark,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",3,> 1M & <= 10M,2018
caritas_denmark,1.4.1,The identifier should not start or end with spaces or newlines.,9,> 1M & <= 10M,2018
caritas_denmark,11.2.1,The transaction date must not be in the future.,12,> 1M & <= 10M,2018
caritas_denmark,11.2.2,The transaction value date must not be in the future.,12,> 1M & <= 10M,2018
caritas_denmark,1.10.13,"The identifier must not contain any of the symbols /, &, | or ?.",2,> 1M & <= 10M,2018
caritas_denmark,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",3,> 1M & <= 10M,2018
caritas_denmark,9.80.1,The aid type is invalid.,23,> 1M & <= 10M,2018
caritas_serbia,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",6,No spend data for 2018-2020,
caritas_serbia,2.1.2,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",2,No spend data for 2018-2020,
caritas_serbia,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",2,No spend data for 2018-2020,
caritas_serbia,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,6,No spend data for 2018-2020,
caritas_serbia,9.76.1,The OECD DAC sector is invalid.,2,No spend data for 2018-2020,
caritasfin,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
caritasfin,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",6,No spend data for 2018-2020,
caritasfin,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,6,No spend data for 2018-2020,
caritasfin,9.76.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
caritasfin,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
carter-center,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",1,<=1M,2018
cavwoc,9.3.1,The default currency code is invalid.,1,No spend data for 2018-2020,
cbi-nigeria,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cbm,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,2,> 1M & <= 10M,2020
cbm,8.9.3,The target value should be omitted for qualitative measures.,1,> 1M & <= 10M,2020
cbm,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",2,> 1M & <= 10M,2020
cbm,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",2,> 1M & <= 10M,2020
cbm,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",4,> 1M & <= 10M,2020
cbm,8.8.1,"The baseline must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",2,> 1M & <= 10M,2020
cbm,8.9.1,"The target must have a value when indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2020
ccc,7.5.3,Budget Period must not be longer than one year.,1,> 1M & <= 10M,2018
ccdnigeria,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cda,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cdacnetwork,11.1.5,The actual end date of the activity must not be in the future.,1,<=1M,2020
cdacnetwork,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",2,<=1M,2020
cdc,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",1,No spend data for 2018-2020,
cdc,3.1.1,Percentages are missing for one or more recipient countries.,1,No spend data for 2018-2020,
cdeb-kvhb_admin,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,<=1M,2019
cdeb-kvhb_admin,11.2.1,The transaction date must not be in the future.,1,<=1M,2019
cdi,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
cdi,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
cdp,0.0.0,No messages for publisher,0,<=1M,2019
cec,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,<=1M,2018
cec,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,<=1M,2018
ceci,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,No spend data for 2018-2020,
cecily,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
cecily,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
cecily,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
cecily,9.90.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
ced,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
ced,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
ced,1.8.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,No spend data for 2018-2020,
ced,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,No spend data for 2018-2020,
ced,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
cehrd1,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cepi,0.0.0,No messages for publisher,0,> 100M & <= 1B,2020
cepr,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cerf,11.1.5,The actual end date of the activity must not be in the future.,35,> 100M & <= 1B,2020
cerf,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,4,> 100M & <= 1B,2020
cerf,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",30,> 100M & <= 1B,2020
cerf,11.1.3,The actual start date must be before the actual end date.,90,> 100M & <= 1B,2020
cerf,4.4.1,The description has no narrative content.,2428,> 100M & <= 1B,2020
cerf,6.11.1,The activity must have a planned or actual start date.,3,> 100M & <= 1B,2020
cerf,3.1.2,"Percentages for recipient countries, must add up to 100%.",2,> 100M & <= 1B,2020
cerf,1.3.1,The identifier should not start or end with spaces or newlines.,5,> 100M & <= 1B,2020
ces-ua,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cesvi,11.1.5,The actual end date of the activity must not be in the future.,1,No spend data for 2018-2020,
cfm,6.14.1,"When using a policy marker code for vocabulary 1, it must include a significance.",1,No spend data for 2018-2020,
cfyas,6.9.1,The organisation must have an identifier or a narrative.,9,> 1M & <= 10M,2018
cfyas,8.10.2,The @value should be a valid number for all non-qualitative measures.,5,> 1M & <= 10M,2018
cfyas,2.1.1,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",4,> 1M & <= 10M,2018
cfyas,8.9.2,The @value should be a valid number for all non-qualitative measures.,5,> 1M & <= 10M,2018
cfyas,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,> 1M & <= 10M,2018
cfyas,4.4.1,The description has no narrative content.,7,> 1M & <= 10M,2018
cgiar,7.5.3,Budget Period must not be longer than one year.,2521,No spend data for 2018-2020,
chai,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",1,> 10M & <= 100M,2019
chai,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
chai,1.10.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 10M & <= 100M,2019
chanceforchildhood,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",1,<=1M,2018
chemonics,6.9.1,The organisation must have an identifier or a narrative.,1,> 10M & <= 100M,2018
chemonics,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
chemonics,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
chemonics,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
chemonics,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
child-dot_org,0.0.0,No messages for publisher,0,<=1M,2019
childfund,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
childfund,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
childfund,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
childfund,1.10.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
childfund,1.4.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
childfund,1.15.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
childfund,1.5.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
childhopeuk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",1,> 1M & <= 10M,2019
chs_alliance,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ciafg,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",2,No spend data for 2018-2020,
ciafg,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",2,No spend data for 2018-2020,
ciafg,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",2,No spend data for 2018-2020,
cibe,7.5.3,Budget Period must not be longer than one year.,6,> 1M & <= 10M,2018
cibe,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",15,> 1M & <= 10M,2018
cibe,2.1.2,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",3,> 1M & <= 10M,2018
cibe,2.1.4,"For a single sector, the percentage must either be omitted, or set to 100.",6,> 1M & <= 10M,2018
cibe,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,15,> 1M & <= 10M,2018
cibe,11.2.1,The transaction date must not be in the future.,7,> 1M & <= 10M,2018
cibe,9.42.1,The organisation type is invalid.,15,> 1M & <= 10M,2018
cic,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
cic,1.15.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
cic,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
cic,9.90.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
cicni,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
cidr,11.1.5,The actual end date of the activity must not be in the future.,1,<=1M,2020
cif,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",246,No spend data for 2018-2020,
cif,1.14.8,The reporting-org identifier does not start with a known prefix.,104,No spend data for 2018-2020,
cif,4.4.1,The description has no narrative content.,12,No spend data for 2018-2020,
cifal,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
ciks,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cilc,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cini_jhk,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cip,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2020
cip,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2020
cip,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2020
cip,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",1,> 1M & <= 10M,2020
ciprb,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,<=1M,2020
ciprb,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",1,<=1M,2020
cis,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,<=1M,2020
cis,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,<=1M,2020
cis,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",1,<=1M,2020
cisu,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,No spend data for 2018-2020,
cisu,1.4.1,The identifier should not start or end with spaces or newlines.,2,No spend data for 2018-2020,
ciuk,7.5.3,Budget Period must not be longer than one year.,110,> 10M & <= 100M,2019
ciuk,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,240,> 10M & <= 100M,2019
ciuk,1.8.1,The identifier should not start or end with spaces or newlines.,8,> 10M & <= 100M,2019
civic_admin,6.14.1,"When using a policy marker code for vocabulary 1, it must include a significance.",1,> 10M & <= 100M,2019
civic_admin,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",1,> 10M & <= 100M,2019
civic_admin,9.44.1,The organisation type is invalid.,1,> 10M & <= 100M,2019
civic_admin,9.45.1,The organisation type is invalid.,1,> 10M & <= 100M,2019
civicus,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",1,> 1M & <= 10M,2019
civicus,8.9.1,"The target must have a value when indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",1,> 1M & <= 10M,2019
ciz,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
ciz,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
ciz,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",1,No spend data for 2018-2020,
cjp,0.0.0,No messages for publisher,0,<=1M,2019
cku,6.9.1,The organisation must have an identifier or a narrative.,1,> 10M & <= 100M,2020
cku,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2020
clasp,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",3,> 1M & <= 10M,2019
clerd-prpi,0.0.0,No messages for publisher,0,<=1M,2018
clgf_data,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",1,<=1M,2020
clientearth-1,0.0.0,No messages for publisher,0,> 1M & <= 10M,2020
climate_centre,0.0.0,No messages for publisher,0,> 1M & <= 10M,2018
clingendael,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,> 1M & <= 10M,2018
clingendael,8.10.3,The @value should be omitted for qualitative measures.,2,> 1M & <= 10M,2018
clingendael,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",15,> 1M & <= 10M,2018
clingendael,8.8.1,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",2,> 1M & <= 10M,2018
clingendael,4.4.1,The description has no narrative content.,3,> 1M & <= 10M,2018
cncd,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2019
cnepal,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",3,<=1M,2018
cnepal,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",3,<=1M,2018
cnepal,6.13.1,"When using a reporting organisation policy marker, it must include a narrative.",3,<=1M,2018
cobracollective,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
cocnl_publisher,1.10.1,The identifier should not start or end with spaces or newlines.,11,> 1M & <= 10M,2019
cocnl_publisher,1.4.1,The identifier should not start or end with spaces or newlines.,8,> 1M & <= 10M,2019
cocnl_publisher,1.15.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2019
coda,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
coffey,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,> 10M & <= 100M,2018
coffey,9.76.1,The OECD DAC sector is invalid.,1,> 10M & <= 100M,2018
coffey,7.5.2,Budget Value must include a Value Date.,2,> 10M & <= 100M,2018
coffey,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",2,> 10M & <= 100M,2018
coffey,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",11,> 10M & <= 100M,2018
coffey,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
coffey,1.15.1,The identifier should not start or end with spaces or newlines.,3,> 10M & <= 100M,2018
coffey,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",2,> 10M & <= 100M,2018
coffey,3.4.1,Percentages are missing for one or more recipient countries or regions.,3,> 10M & <= 100M,2018
coffey,8.6.3,The start of the period must be before the end of the period.,1,> 10M & <= 100M,2018
coffey,6.1.5,The document format must be present.,1,> 10M & <= 100M,2018
col-greenfinance,6.9.1,The organisation must have an identifier or a narrative.,1,<=1M,2019
col-greenfinance,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2019
colalife,9.88.1,The organisation type is invalid.,1,<=1M,2018
come,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
come,8.9.3,The @value should be omitted for qualitative measures.,1,No spend data for 2018-2020,
come,8.10.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
come,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
come,8.9.2,The @value should be a valid number for all non-qualitative measures.,1,No spend data for 2018-2020,
come,8.8.3,The @value should be omitted for qualitative measures.,1,No spend data for 2018-2020,
commonwealthsecretariat,2.2.1,"When using a reporting organisation sector code (vocabulary 98 or 99), it must include a narrative.",51,> 10M & <= 100M,2018
commonwealthsecretariat,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",51,> 10M & <= 100M,2018
commonwealthsecretariat,3.1.4,"When a single recipient country is declared, the percentage must either be omitted, or set to 100.",2,> 10M & <= 100M,2018
commonwealthsecretariat,11.2.2,The transaction value date must not be in the future.,49,> 10M & <= 100M,2018
commonwealthsecretariat,9.50.1,The recipient country code is invalid.,26,> 10M & <= 100M,2018
commonwealthsecretariat,4.4.1,The description must contain narrative content.,47,> 10M & <= 100M,2018
commonwealthsecretariat,3.4.4,"When a single recipient country or region is declared, the percentage must either be omitted, or set to 100.",16,> 10M & <= 100M,2018
commonwealthsecretariat,3.6.2,Recipient countries or regions must only be declared at activity level OR for all transactions.,49,> 10M & <= 100M,2018
commonwealthsecretariat,3.1.2,"Percentage values for recipient countries, must add up to 100%.",2,> 10M & <= 100M,2018
commonwealthsecretariat,3.4.2,"Percentage values for recipient countries or regions, must add up to 100%.",31,> 10M & <= 100M,2018
commonwealthsecretariat,9.36.1,The location identifier vocabulary is invalid.,47,> 10M & <= 100M,2018
commonwealthsecretariat,9.37.1,The location reach code is invalid.,22,> 10M & <= 100M,2018
comp_uk,0.0.0,No messages for publisher,0,<=1M,2020
concern_worldwide,7.5.3,Budget Period must not be longer than one year.,5,> 10M & <= 100M,2019
concern_worldwide,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,> 10M & <= 100M,2019
concern_worldwide,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,> 10M & <= 100M,2019
concern_worldwide,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",1,> 10M & <= 100M,2019
concern_worldwide,3.1.4,"For a single recipient country, the percentage must either be omitted, or set to 100.",1,> 10M & <= 100M,2019
concern_worldwide,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,> 10M & <= 100M,2019
concern_worldwide,4.3.1,The title has no narrative content.,1,> 10M & <= 100M,2019
concern_worldwide,9.3.1,The default currency code is invalid.,1,> 10M & <= 100M,2019
concern_worldwide,6.11.1,The activity must have a planned or actual start date.,1,> 10M & <= 100M,2019
concern_worldwide,6.2.1,Activity Status must be present.,1,> 10M & <= 100M,2019
concernuk,7.5.3,Budget Period must not be longer than one year.,5,> 10M & <= 100M,2020
concernuk,9.3.1,The default currency code is invalid.,1,> 10M & <= 100M,2020
concordis,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,<=1M,2020
congodorpen,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2018
congodorpen,3.4.4,"For a single recipient country or region, the percentage must either be omitted, or set to 100.",1,> 1M & <= 10M,2018
cord,7.5.3,Budget Period must not be longer than one year.,1,No spend data for 2018-2020,
cord,9.76.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
cord,1.5.1,The identifier should not start or end with spaces or newlines.,1,No spend data for 2018-2020,
cord,6.6.2,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,1,No spend data for 2018-2020,
cord,9.90.1,The OECD DAC sector is invalid.,1,No spend data for 2018-2020,
cordaid,7.5.3,Budget Period must not be longer than one year.,124,> 10M & <= 100M,2019
cordaid,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,3,> 10M & <= 100M,2019
cordaid,8.6.1,The start of the period must be before the end of the period.,16,> 10M & <= 100M,2019
cordaid,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",14,> 10M & <= 100M,2019
cordaid,8.6.3,The start of the period must be before the end of the period.,1,> 10M & <= 100M,2019
cost_uk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",16,> 1M & <= 10M,2019
cowater,0.0.0,No messages for publisher,0,> 1M & <= 10M,2019
cowateruk,6.9.1,The provider and receiver organisation must have an organisation identifier or a narrative.,1,> 1M & <= 10M,2020
cowateruk,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 1M & <= 10M,2020
cowi,7.5.3,Budget Period must not be longer than one year.,2,> 10M & <= 100M,2020
cowi,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",2,> 10M & <= 100M,2020
cowi,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal)",1,> 10M & <= 100M,2020
cpi,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,No spend data for 2018-2020,
cpi,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",2,No spend data for 2018-2020,
cprojects,7.5.3,Budget Period must not be longer than one year.,17,> 10M & <= 100M,2018
cprojects,2.1.2,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",2,> 10M & <= 100M,2018
cprojects,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,2,> 10M & <= 100M,2018
cprojects,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",372,> 10M & <= 100M,2018
cprojects,1.10.1,The identifier should not start or end with spaces or newlines.,9,> 10M & <= 100M,2018
cprojects,1.4.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
cprojects,1.15.1,The identifier should not start or end with spaces or newlines.,17,> 10M & <= 100M,2018
cprojects,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",9,> 10M & <= 100M,2018
cprojects,1.5.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2018
cprojects,1.8.1,The identifier should not start or end with spaces or newlines.,14,> 10M & <= 100M,2018
cr,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2020
cr,7.5.3,Budget Period must not be longer than one year.,2,> 1M & <= 10M,2020
cr,3.7.1,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,1,> 1M & <= 10M,2020
cr,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,> 1M & <= 10M,2020
cr,7.5.2,Budget Value must include a Value Date.,1,> 1M & <= 10M,2020
cr,6.2.2,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",1,> 1M & <= 10M,2020
cr,4.3.1,The title has no narrative content.,1,> 1M & <= 10M,2020
cr,4.4.1,The description has no narrative content.,1,> 1M & <= 10M,2020
cr,9.93.1,The transaction type is invalid.,1,> 1M & <= 10M,2020
cr,6.10.1,The participating organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2020
cr,6.11.1,The activity must have a planned or actual start date.,1,> 1M & <= 10M,2020
cr,9.4.1,The activity date type is invalid.,1,> 1M & <= 10M,2020
cr,6.3.1,Organisation Type must be present.,1,> 1M & <= 10M,2020
cr,1.7.2,Organisation Identifier must be present.,1,> 1M & <= 10M,2020
crane,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 1M & <= 10M,2018
crb-ai_admin,8.10.1,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",1,> 1M & <= 10M,2018
crb-ai_admin,8.10.2,The @value should be a valid number for all non-qualitative measures.,6,> 1M & <= 10M,2018
crb-ai_admin,8.8.2,The @value should be a valid number for all non-qualitative measures.,1,> 1M & <= 10M,2018
crb-ai_admin,8.9.2,The @value should be a valid number for all non-qualitative measures.,2,> 1M & <= 10M,2018
creausa-org,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",6,<=1M,2018
creausa-org,8.11.1,"If a result has a reference code, the indicator must not have a reference code.",3,<=1M,2018
creausa-org,6.14.1,"When using a policy marker for vocabulary 1, it must include a significance.",1,<=1M,2018
crehpa,3.4.1,Percentages are missing for one or more recipient countries or regions.,1,<=1M,2018
crehpa,9.44.1,The organisation type is invalid.,1,<=1M,2018
crisisgroup,0.0.0,No messages for publisher,0,<=1M,2020
crs,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,> 10M & <= 100M,2019
crs,1.10.1,The identifier should not start or end with spaces or newlines.,1,> 10M & <= 100M,2019
csa,8.10.1,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",4,<=1M,2018
